Fecha,Temp_Max_Real,Humidity_Real,Wind_Speed_Real,Pressure_Real
2024-03-11,9.0,87.97375,16.668,1006.5409326875
2024-03-12,14.0,87.15625,20.372,1011.3947583541667
2024-03-13,14.0,79.78875000000001,27.78,1012.234300875
2024-03-14,18.0,76.3425,29.632,1007.2041007291667
2024-03-15,15.0,77.73208333333334,29.632,1005.8495447291666
2024-03-16,14.0,67.836875,16.668,1019.6631939375001
2024-03-17,16.0,84.841875,16.668,1014.8375881875
2024-03-18,15.0,80.04875,22.224,1014.8799180625
2024-03-19,13.0,81.02604166666667,22.224,1015.9804948125001
2024-03-20,17.0,74.73875,14.816,1018.7107717499999
2024-03-21,16.0,77.06729166666666,24.076,1024.4464698125
2024-03-22,12.0,68.89020833333333,22.224,1017.3985456250001
2024-03-23,11.0,62.03541666666666,37.04,1011.5922977708333
2024-03-24,13.0,59.37708333333333,33.336,1009.8779378333334
2024-03-25,12.0,69.35104166666666,20.372,1000.42426575
2024-03-26,13.0,76.29375,27.78,987.4501590625
2024-03-27,12.0,74.88250000000001,29.632,981.0160180624999
2024-03-28,11.0,76.48708333333333,40.744,978.5820502500001
2024-03-29,14.0,73.211875,29.632,988.2614816666668
2024-03-30,16.0,68.39541666666666,24.076,995.133031375
2024-03-31,12.0,85.80934782608696,27.78,993.3533361956522
2024-04-01,14.0,73.92333333333333,20.372,994.15944425
2024-04-02,15.0,76.98729166666666,24.076,1001.9269763125
2024-04-03,15.0,77.123125,37.04,1000.59358525
2024-04-04,16.0,76.731875,31.484,1002.9852231875001
2024-04-05,18.0,73.16437499999999,33.336,1004.3609441250001
2024-04-06,19.0,63.36145833333333,35.188,1002.6889140625
2024-04-07,17.0,62.680625,37.04,1008.4881069375
2024-04-08,17.0,74.934375,20.372,1004.6149233750001
2024-04-09,13.0,66.84854166666666,44.448,1007.3875301875
2024-04-10,14.0,76.63645833333334,31.484,1025.5047166875
2024-04-11,20.0,79.34145833333334,22.224,1028.7641170625
2024-04-12,21.0,65.81729166666666,33.336,1028.5947975625002
2024-04-13,21.0,65.785625,31.484,1022.4992955624999
2024-04-14,15.0,55.673750000000005,25.928,1022.2876461875
2024-04-15,12.0,61.5925,44.448,1008.2270727083334
2024-04-16,13.0,65.57479166666667,37.04,1012.3965653958334
2024-04-17,12.0,63.562291666666674,27.78,1015.620690875
2024-04-18,14.0,62.72145833333334,29.632,1021.25056425
2024-04-19,14.0,71.96354166666667,33.336,1017.9276690625001
2024-04-20,10.0,59.45416666666667,22.224,1028.2138286875
2024-04-21,11.0,61.07145833333334,20.372,1030.0692882083333
2024-04-22,10.0,68.34770833333333,12.964,1028.2138286875
2024-04-23,11.0,74.18583333333333,20.372,1022.7532748125
2024-04-24,10.0,58.96291666666667,18.52,1016.5731130625
2024-04-25,12.0,70.02520833333334,24.076,1005.1863766875
2024-04-26,13.0,63.995000000000005,22.224,1003.8318206875
2024-04-27,11.0,85.175,20.372,1003.1164458
2024-04-28,12.0,81.09083333333334,25.928,1004.1916246249999
2024-04-29,16.0,64.096875,27.78,1014.858753125
2024-04-30,19.0,70.10541666666667,22.224,1011.5146930000001
2024-05-01,20.0,80.22333333333333,18.52,1007.19704575
2024-05-02,16.0,85.075625,25.928,1001.8201672093023
2024-05-03,13.0,84.28125,25.928,1008.4457770625
2024-05-04,17.0,75.545,18.52,1010.6751504791667
2024-05-05,18.0,72.07187499999999,14.816,1007.8954886875
2024-05-06,15.0,87.94333333333333,16.668,1008.255292625
2024-05-07,19.0,71.71020833333334,18.52,1021.208234375
2024-05-08,19.0,75.394375,18.52,1028.9122716250001
2024-05-09,23.0,66.23583333333333,16.668,1026.414809
2024-05-10,22.0,65.548125,25.928,1023.4517177500001
2024-05-11,21.0,78.97375000000001,31.484,1020.7214408125001
2024-05-12,25.0,66.62708333333333,27.78,1012.7563693333333
2024-05-13,18.0,73.33916666666666,20.372,1007.1758808125
2024-05-14,17.0,80.76666666666667,18.52,1001.4401827500001
2024-05-15,21.0,72.92354166666667,18.52,1004.530263625
2024-05-16,18.0,84.4875,16.668,1005.207541625
2024-05-17,22.0,66.57166666666667,11.112,1009.4758040208334
2024-05-18,19.0,76.84125,12.964,1012.7210944375
2024-05-19,23.0,63.656041666666674,20.372,1013.7370114375
2024-05-20,20.0,70.88104166666666,20.372,1013.4618672500001
2024-05-21,15.0,87.32,12.964,1009.4334741458333
2024-05-22,16.0,89.33,25.928,1006.646757375
2024-05-23,19.0,69.49541666666667,24.076,1013.0315135208334
2024-05-24,19.0,62.099375,12.964,1018.1181535000001
2024-05-25,21.0,62.40208333333334,14.816,1016.4037935625
2024-05-26,20.0,71.98041666666667,35.188,1011.5288029583335
2024-05-27,17.0,70.78208333333333,22.224,1014.7952583125001
2024-05-28,18.0,85.10395833333334,27.78,1012.2695757708334
2024-05-29,21.0,66.16270833333333,22.224,1008.6150965625001
2024-05-30,18.0,72.57583333333334,25.928,1010.2659616875
2024-05-31,14.0,77.61833333333333,25.928,1018.6049470625
2024-06-01,16.0,72.65270833333334,22.224,1025.1660776875
2024-06-02,23.0,64.60083333333334,20.372,1026.2666544375
2024-06-03,21.0,69.48354166666667,14.816,1020.8272655000001
